e,budget,n_components,arm,density
-3.0,0,0,true,0.00042667878833998644
-2.99,0,0,true,0.0004382886537860633
-2.98,0,0,true,0.00045021442191903204
-2.97,0,0,true,0.0004624646884033329
-2.96,0,0,true,0.0004750482827901406
-2.95,0,0,true,0.0004879742748813831
-2.94,0,0,true,0.0005012519812669322
-2.93,0,0,true,0.0005148909720396618
-2.92,0,0,true,0.0005289010776932323
-2.91,0,0,true,0.0005432923962075495
-2.9,0,0,true,0.0005580753003270315
-2.89,0,0,true,0.0005732604450369046
-2.88,0,0,true,0.0005888587752429374
-2.87,0,0,true,0.0006048815336601302
-2.86,0,0,true,0.0006213402689160658
-2.85,0,0,true,0.0006382468438747371
-2.84,0,0,true,0.0006556134441868788
-2.83,0,0,true,0.0006734525870729411
-2.82,0,0,true,0.0006917771303450562
-2.81,0,0,true,0.000710600281674482
-2.8,0,0,true,0.0007299356081112204
-2.79,0,0,true,0.0007497970458626536
-2.78,0,0,true,0.0007701989103382685
-2.77,0,0,true,0.0007911559064676789
-2.76,0,0,true,0.0008126831392994184
-2.75,0,0,true,0.0008347961248881086
-2.74,0,0,true,0.0008575108014778778
-2.73,0,0,true,0.0008808435409900739
-2.7199999999999998,0,0,true,0.0009048111608235508
-2.71,0,0,true,0.000929430935976048
-2.7,0,0,true,0.0009547206114953886
-2.69,0,0,true,0.0009806984152694687
-2.68,0,0,true,0.0010073830711642608
-2.67,0,0,true,0.0010347938125193112
-2.66,0,0,true,0.0010629503960104258
-2.65,0,0,true,0.001091873115889584
-2.64,0,0,true,0.0011215828186122944
-2.63,0,0,true,0.0011521009178629782
-2.62,0,0,true,0.0011834494099891742
-2.61,0,0,true,0.0012156508898557249
-2.6,0,0,true,0.0012487285671303288
-2.59,0,0,true,0.0012827062830122454
-2.58,0,0,true,0.0013176085274161642
-2.57,0,0,true,0.0013534604566236622
-2.56,0,0,true,0.0013902879114149366
-2.55,0,0,true,0.0014281174356939224
-2.54,0,0,true,0.0014669762956201668
-2.53,0,0,true,0.0015068924992613115
-2.52,0,0,true,0.0015478948167802846
-2.51,0,0,true,0.0015900128011718142
-2.5,0,0,true,0.001633276809563146
-2.49,0,0,true,0.001677718025094388
-2.48,0,0,true,0.0017233684793941798
-2.4699999999999998,0,0,true,0.0017702610756669412
-2.46,0,0,true,0.0018184296124083188
-2.45,0,0,true,0.0018679088077659285
-2.44,0,0,true,0.0019187343245629478
-2.4299999999999997,0,0,true,0.0019709427960025836
-2.42,0,0,true,0.0020245718520719757
-2.41,0,0,true,0.0020796601466645387
-2.4,0,0,true,0.002136247385440296
-2.39,0,0,true,0.0021943743544442806
-2.38,0,0,true,0.002254082949503667
-2.37,0,0,true,0.002315416206424752
-2.36,0,0,true,0.0023784183320116445
-2.35,0,0,true,0.0024431347359289072
-2.34,0,0,true,0.002509612063431234
-2.33,0,0,true,0.002577898228983651
-2.32,0,0,true,0.002648042450796557
-2.31,0,0,true,0.002720095286300418
-2.3,0,0,true,0.0027941086685857697
-2.29,0,0,true,0.0028701359438346877
-2.2800000000000002,0,0,true,0.002948231909770822
-2.27,0,0,true,0.003028452855155616
-2.26,0,0,true,0.0031108566003592098
-2.25,0,0,true,0.00319550253903529
-2.24,0,0,true,0.0032824516809299097
-2.23,0,0,true,0.0033717666958550997
-2.2199999999999998,0,0,true,0.003463511958859014
-2.21,0,0,true,0.0035577535966251545
-2.2,0,0,true,0.003654559535134105
-2.19,0,0,true,0.0037539995486221413
-2.1799999999999997,0,0,true,0.003856145309871963
-2.17,0,0,true,0.003961070441871875
-2.16,0,0,true,0.004068850570880591
-2.15,0,0,true,0.004179563380935914
-2.14,0,0,true,0.004293288669846576
-2.13,0,0,true,0.004410108406707671
-2.12,0,0,true,0.0045301067909809785
-2.11,0,0,true,0.004653370313182939
-2.1,0,0,true,0.004779987817223886
-2.09,0,0,true,0.004910050564443559
-2.08,0,0,true,0.00504365229938896
-2.07,0,0,true,0.0051808893173821
-2.06,0,0,true,0.0053218605339261415
-2.05,0,0,true,0.005466667556000183
-2.04,0,0,true,0.0056154147552938734
